Population,Nitrogen,Nod_Density_Nonlocal_R,Nod_Density_Nonlocal_U,Nod_Density_Local,Fix_Density_Nonlocal_R,Fix_Density_Nonlocal_U,Fix_Density_Local
P32,Ambient_N,0.20883333333333332,0.9921666666666668,0.40499999999999997,0.10733333333333334,0.245,0.1766
P32,N_Addition,0.43883333333333335,0.347,0.4874,0.126,0.219,0.1422
P34,Ambient_N,0.2793333333333333,0.3984,0.7508333333333334,0.08033333333333334,0.114,0.3466666666666667
P34,N_Addition,0.21150000000000002,0.27216666666666667,0.4545,0.04816666666666667,0.131,0.1995
P36,Ambient_N,0.1646,0.3554,0.4415,0.061399999999999996,0.1838,0.12766666666666668
P36,N_Addition,0.12133333333333333,0.428,0.38175000000000003,0.034666666666666665,0.2078,0.10625
P37,Ambient_N,0.2368,0.6926,0.49083333333333334,0.0858,0.18,0.249
P37,N_Addition,0.18466666666666667,0.4435,0.4838,0.06016666666666667,0.16083333333333333,0.1796
P38,Ambient_N,0.33999999999999997,1.2583333333333333,0.5471666666666667,0.12866666666666668,0.11533333333333333,0.237
P38,N_Addition,0.41719999999999996,0.5415,0.6305,0.1264,0.14116666666666666,0.18925
P39,Ambient_N,0.05333333333333334,0.4605,0.5278,0.004166666666666667,0.24083333333333334,0.15860000000000002
P39,N_Addition,0.4613333333333334,0.6148333333333333,0.6028333333333333,0.15116666666666667,0.28,0.178
P41,Ambient_N,0.04066666666666667,0.23233333333333334,0.0395,0.008333333333333333,0.05,0
P41,N_Addition,0.12766666666666668,0.2915,0.2892,0.049,0.13133333333333333,0.1514
P43,Ambient_N,0.2585,0.056666666666666664,0.763,0.042,0,0.2032
P43,N_Addition,0,0.07583333333333334,0.19016666666666668,0,0.0023333333333333335,0.08733333333333333
P47,Ambient_N,0.271,0.4221666666666667,0.296,0.161,0.1,0.12483333333333334
P47,N_Addition,0.39766666666666667,0.4694,0.5478000000000001,0.23983333333333334,0.23979999999999999,0.23559999999999998
P48,Ambient_N,0.5728,0.55525,0.583,0.1356,0.32675,0.225
P48,N_Addition,0.21459999999999999,0.8483333333333334,0.5644,0.0558,0.07533333333333334,0.2114
P7,Ambient_N,0.4996,0.499,0.4452,0.214,0.1865,0.21080000000000002
P7,N_Addition,0.22383333333333333,0.43,0.36366666666666664,0.0755,0.21083333333333332,0.12
P10,Ambient_N,0.0645,1.3683333333333334,0.8005,0.0485,0.42233333333333334,0.2005
P10,N_Addition,0.602,0.1578,0.42000000000000004,0.226,0.0472,0.12666666666666668
P12,Ambient_N,0.56775,0.19625,0.7175,0.11975,0.08,0.4545
P12,N_Addition,0.606,0.113,0.48250000000000004,0.21566666666666667,0.0976,0.28600000000000003
