Population,Nitrogen,AG_Biomass_Nonlocal_R,AG_Biomass_Nonlocal_U,AG_Biomass_Local,BG_Biomass_Nonlocal_R,BG_Biomass_Nonlocal_U,BG_Biomass_Local
P3,Ambient_N,0.08274,0.04234,0.08505,0.056299999999999996,0.02912,0.03396666666666667
P3,N_Addition,0.24316666666666667,0.24473333333333336,0.22448333333333334,0.17631666666666668,0.11150000000000002,0.17165
P13,Ambient_N,0.016475,0.0431,0.07314999999999999,0.020875,0.041999999999999996,0.030400000000000003
P13,N_Addition,0.032299999999999995,0.10486666666666668,0.14586000000000002,0.0218,0.08976666666666668,0.12514
P14,Ambient_N,0.0369,0.05256,0.014599999999999998,0.02636666666666667,0.04234,0.01105
P14,N_Addition,0.08913333333333334,0.139625,0.09434999999999999,0.06316666666666668,0.08547500000000001,0.08135
P15,Ambient_N,0.08173333333333334,0.020900000000000002,0.15246666666666667,0.05748333333333334,0.01562,0.08123333333333334
P15,N_Addition,0.12488333333333335,0.04938000000000001,0.25118,0.09155,0.05514,0.11304
P16,Ambient_N,0.0575,0.08476,0.05198333333333334,0.056850000000000005,0.057580000000000006,0.04915
P16,N_Addition,0.22048333333333334,0.1335,0.127,0.15115,0.11532500000000001,0.14008333333333334
P18,Ambient_N,0.06818,0.02616,0.07016666666666667,0.04726,0.02038,0.05185
P18,N_Addition,0.138,0.082,0.19028,0.10958333333333334,0.06420000000000001,0.11992000000000001
P20,Ambient_N,0.05122500000000001,0.02238333333333333,0.07976000000000001,0.04175,0.037066666666666664,0.0688
P20,N_Addition,0.30274999999999996,0.14143333333333336,0.23348333333333335,0.120275,0.20273333333333332,0.12846666666666667
P21,Ambient_N,0.08288000000000001,0.01608,0.07796,0.08846000000000001,0.01568,0.06796
P21,N_Addition,0.1494,0.11782500000000001,0.10603333333333334,0.12373333333333333,0.1063,0.17533333333333334
P22,Ambient_N,0.14356666666666668,0.0475,0.19805,0.06606666666666666,0.0315,0.12010000000000001
P22,N_Addition,NA,0.11190000000000001,NA,NA,0.0883,NA
P4,Ambient_N,0.11943333333333334,0.36744,0.2155,0.06130000000000001,0.13248000000000001,0.07296
P4,N_Addition,0.3744166666666667,0.3129,0.40454,0.23793333333333336,0.16455,0.1655
P23,Ambient_N,0.057075,0.045875,0.13765,0.0443,0.0438,0.082375
P23,N_Addition,0.48805,0.2443,0.1313,0.2498,0.200625,0.10850000000000001
P25,Ambient_N,0.0318,0.00645,0.016333333333333335,0.038400000000000004,0.005600000000000001,0.014766666666666668
P25,N_Addition,0.18212500000000004,NA,0.26586,0.12150000000000001,NA,0.15128000000000003
P26,Ambient_N,0.0417,0.035375000000000004,0.04183333333333333,0.03986,0.028175,0.03353333333333334
P26,N_Addition,0.10885,0.162575,0.16598333333333334,0.10640000000000001,0.14447500000000002,0.14193333333333333
P28,Ambient_N,0.04713333333333333,0.026466666666666666,0.08987500000000001,0.0322,0.0361,0.0688
P28,N_Addition,0.14045000000000002,0.11642000000000001,0.09726000000000001,0.15300000000000002,0.11704,0.08682000000000001
P29,Ambient_N,0.03553333333333333,0.03725,0.17895,0.0281,0.02475,0.08626666666666667
P29,N_Addition,0.29948,0.14911666666666668,0.33002000000000004,0.20964000000000002,0.11813333333333334,0.17964000000000002
P30,Ambient_N,0.25445,0.0426,0.18684,0.12179999999999999,0.0449,0.12364000000000001
P30,N_Addition,0.37212500000000004,0.2554,0.228,0.208075,0.19951666666666668,0.13826
P31,Ambient_N,0.05288,0.06596666666666667,0.019899999999999998,0.043,0.030100000000000002,0.017233333333333333
P31,N_Addition,0.1595666666666667,0.10194,0.21624000000000002,0.12990000000000002,0.057,0.10304000000000002
P32,Ambient_N,0.08341666666666667,0.026333333333333334,0.06806000000000001,0.04870000000000001,0.017116666666666665,0.057
P32,N_Addition,0.25706666666666667,0.22005000000000002,0.20268,0.21656666666666669,0.1383,0.10824
P34,Ambient_N,0.03303333333333333,0.03678,0.062150000000000004,0.026600000000000002,0.034960000000000005,0.048383333333333334
P34,N_Addition,0.06696666666666666,0.17935,0.31972500000000004,0.08045000000000001,0.12326666666666668,0.196525
P36,Ambient_N,0.12276000000000001,0.08868,0.04991666666666667,0.04358,0.07146,0.04696666666666667
P36,N_Addition,0.18053333333333335,0.16796,0.222925,0.20125,0.11668,0.15205000000000002
P37,Ambient_N,0.04342,0.06114,0.06628333333333333,0.04208,0.04,0.05571666666666667
P37,N_Addition,0.14203333333333334,0.19215000000000002,0.25974,0.10306666666666667,0.1168,0.18314000000000002
P38,Ambient_N,0.03811666666666667,0.13616666666666666,0.040350000000000004,0.029683333333333336,0.05165,0.036166666666666666
P38,N_Addition,0.41112000000000004,0.1767166666666667,0.129775,0.2785,0.13971666666666668,0.1589
P39,Ambient_N,0.02115,0.1686666666666667,0.02796,0.03133333333333333,0.11191666666666668,0.023620000000000002
P39,N_Addition,0.33635,0.12560000000000002,0.2296166666666667,0.19216666666666668,0.08935000000000001,0.15965000000000001
P41,Ambient_N,0.07505,0.045816666666666665,0.020725,0.07381666666666667,0.0311,0.022350000000000002
P41,N_Addition,0.06281666666666667,0.2475,0.13408,0.062033333333333336,0.12973333333333334,0.08522
P43,Ambient_N,0.03771666666666667,0.057633333333333335,0.026860000000000002,0.040716666666666665,0.027233333333333335,0.02408
P43,N_Addition,0.05038000000000001,0.06813333333333334,0.07868333333333333,0.06396,0.06810000000000001,0.054816666666666666
P47,Ambient_N,0.08655,0.068533333333333335,0.2027,0.06186666666666667,0.04618333333333334,0.15768333333333334
P47,N_Addition,0.4202,0.38712,1.1015,0.20001666666666665,0.21404,0.2989
P48,Ambient_N,0.06614,0.063325,0.019750000000000004,0.036520000000000004,0.058125,0.0148
P48,N_Addition,0.09298000000000001,0.2074,0.08560000000000001,0.07020000000000001,0.16806666666666664,0.06292
P7,Ambient_N,0.09772,0.13923333333333335,0.08978000000000001,0.0684,0.09630000000000001,0.057679999999999995
P7,N_Addition,0.2189,0.18045,0.28095000000000003,0.1738,0.10388333333333334,0.22921666666666668
P10,Ambient_N,0.012199999999999999,0.023133333333333332,0.015700000000000002,0.0050999999999999995,0.0221,0.01525
P10,N_Addition,0.057300000000000004,0.08498,0.06673333333333334,0.0402,0.07454000000000001,0.038733333333333335
P12,Ambient_N,0.00735,0.0052250000000000005,0.015000000000000001,0.013425,0.01055,0.0207
P12,N_Addition,0.09340000000000001,0.11982000000000001,0.1436,0.07160000000000001,0.0845,0.13335
